City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hanzhong,33.0728,107.0303,54.0,70,84.0,2.06,CN,1680033101.0
Machakos,-1.5167,37.2667,69.75,90,100.0,2.35,KE,1680033102.0
Busselton,-33.65,115.3333,55.06,78,64.0,11.63,AU,1680032934.0
Saint Paul Harbor,57.79,-152.4072,36.91,75,0.0,4.61,US,1680033102.0
Bicester,51.9,-1.1536,47.14,91,100.0,13.8,GB,1680033102.0
Muros,42.7762,-9.0603,56.12,74,31.0,7.05,ES,1680033102.0
Butaritari,3.0707,172.7902,81.45,80,29.0,14.36,KI,1680033102.0
Cuamba,-14.8031,36.5372,66.81,97,69.0,3.78,MZ,1680033102.0
Upernavik,72.7868,-56.1549,-14.49,91,34.0,8.5,GL,1680033103.0
Mataura,-46.1927,168.8643,44.47,80,49.0,1.32,NZ,1680033103.0
Avarua,-21.2078,-159.775,80.65,89,75.0,9.22,CK,1680033103.0
Thompson,55.7435,-97.8558,8.76,56,100.0,9.22,CA,1680033103.0
Albert Lea,43.648,-93.3683,39.96,48,0.0,12.66,US,1680033092.0
Narsaq,60.9167,-46.05,27.61,70,23.0,4.07,GL,1680033103.0
Castro,-24.7911,-50.0119,71.8,83,38.0,2.44,BR,1680033065.0
Vallenar,-28.5708,-70.7581,84.2,37,0.0,9.22,CL,1680033104.0
Morondava,-20.2833,44.2833,78.28,62,99.0,12.39,MG,1680033043.0
Saskylakh,71.9167,114.0833,-18.71,96,92.0,7.67,RU,1680033104.0
Constitución,-35.3333,-72.4167,65.14,77,35.0,11.7,CL,1680032967.0
Albany,42.6001,-73.9662,49.59,46,23.0,3.0,US,1680033104.0
Punta Arenas,-53.15,-70.9167,44.71,57,40.0,17.27,CL,1680032955.0
Ushuaia,-54.8,-68.3,38.86,70,40.0,18.41,AR,1680032926.0
Tasiilaq,65.6145,-37.6368,3.79,78,0.0,3.0,GL,1680033105.0
East London,-33.0153,27.9116,70.23,77,67.0,6.38,ZA,1680033105.0
Barrow,71.2906,-156.7887,1.42,85,0.0,12.66,US,1680033105.0
Mahibadhoo,3.7833,72.9667,81.99,72,84.0,0.29,MV,1680033105.0
Hasaki,35.7333,140.8333,48.22,75,78.0,13.24,JP,1680033105.0
Jamestown,42.097,-79.2353,46.53,53,75.0,11.5,US,1680033085.0
Souillac,-20.5167,57.5167,75.58,83,20.0,1.14,MU,1680033105.0
Rikitea,-23.1203,-134.9692,80.19,75,100.0,11.77,PF,1680033106.0
Panzhihua,26.5851,101.7128,55.51,83,15.0,1.39,CN,1680033106.0
Hermanus,-34.4187,19.2345,60.8,84,100.0,11.79,ZA,1680033003.0
Piaçabuçu,-10.4056,-36.4344,80.49,75,11.0,10.4,BR,1680033106.0
Hobyo,5.3505,48.5268,82.74,75,34.0,13.78,SO,1680033106.0
Leningradskiy,69.3833,178.4167,1.17,81,0.0,7.38,RU,1680032979.0
Cape Town,-33.9258,18.4232,64.09,81,100.0,8.99,ZA,1680032882.0
Dukat,62.55,155.55,-5.64,88,4.0,7.65,RU,1680033107.0
Vaini,-21.2,-175.2,77.16,94,20.0,1.14,TO,1680032927.0
Tomatlán,19.9333,-105.25,88.66,40,0.0,12.64,MX,1680033107.0
Mildura,-34.2,142.15,60.08,92,0.0,13.91,AU,1680033107.0
Puerto Ayora,-0.7393,-90.3518,87.76,86,57.0,5.99,EC,1680033071.0
Qaanaaq,77.484,-69.3632,-8.27,70,90.0,4.56,GL,1680032942.0
Pathein,16.7833,94.7333,72.7,88,11.0,6.85,MM,1680033107.0
Geraldton,-28.7667,114.6,73.81,64,73.0,12.66,AU,1680033108.0
Liwale,-9.7667,37.9333,69.35,99,100.0,4.61,TZ,1680033108.0
Marawi,7.9986,124.2928,69.13,98,100.0,1.32,PH,1680033049.0
Tulun,54.5611,100.5792,34.47,93,100.0,6.11,RU,1680033108.0
Nanning,22.8167,108.3167,57.65,90,100.0,4.47,CN,1680033108.0
Laguna,38.421,-121.4238,52.07,84,100.0,18.41,US,1680032837.0
Belmonte,-15.8631,-38.8828,80.53,72,13.0,7.94,BR,1680033108.0
Waingapu,-9.6567,120.2641,77.29,85,100.0,5.06,ID,1680033109.0
Tateyama,34.9833,139.8667,51.87,81,86.0,15.08,JP,1680033109.0
Atuona,-9.8,-139.0333,80.82,76,32.0,14.36,PF,1680033109.0
Plainview,40.7765,-73.4673,52.75,55,100.0,9.22,US,1680032924.0
Hithadhoo,-0.6,73.0833,82.69,74,100.0,3.6,MV,1680033109.0
Olinda,-8.0089,-34.8553,83.93,65,20.0,12.66,BR,1680033110.0
Deputatsky,69.3,139.9,-18.72,98,75.0,7.58,RU,1680033110.0
Coolum Beach,-26.5333,153.1,71.11,93,92.0,6.24,AU,1680033110.0
Macaé,-22.3708,-41.7869,82.15,74,100.0,5.75,BR,1680033110.0
Pevek,69.7008,170.3133,0.64,80,13.0,17.36,RU,1680033110.0
Dhidhdhoo,6.8833,73.1,81.73,74,35.0,3.69,MV,1680033110.0
Gribanovskiy,51.4579,41.9764,48.9,61,100.0,13.69,RU,1680033111.0
Louis Trichardt,-23.0439,29.9032,59.38,76,0.0,3.74,ZA,1680033111.0
Swan Hill,-35.3378,143.5544,60.8,90,83.0,4.7,AU,1680033111.0
Arraial do Cabo,-22.9661,-42.0278,80.56,78,75.0,8.05,BR,1680032912.0
Thinadhoo,0.5333,72.9333,82.27,76,90.0,2.66,MV,1680033111.0
Vestmannaeyjar,63.4427,-20.2734,35.26,69,100.0,25.59,IS,1680033111.0
Port Alfred,-33.5906,26.891,65.86,75,100.0,18.23,ZA,1680032923.0
New Norfolk,-42.7826,147.0587,55.9,91,79.0,2.53,AU,1680033112.0
Vanimo,-2.6741,141.3028,76.91,86,100.0,2.48,PG,1680033112.0
Palkovice,49.6347,18.3151,34.12,77,75.0,4.61,CZ,1680033112.0
Fort Nelson,58.8053,-122.7002,42.94,35,75.0,5.75,CA,1680033112.0
Koungou,-12.7336,45.2042,80.31,89,0.0,2.3,YT,1680033112.0
Carutapera,-1.195,-46.02,78.44,90,81.0,5.91,BR,1680033112.0
Mahébourg,-20.4081,57.7,75.49,83,20.0,1.14,MU,1680033113.0
Bluff,-46.6,168.3333,44.8,65,94.0,8.63,NZ,1680032931.0
Longyearbyen,78.2186,15.6401,-5.08,97,78.0,3.38,SJ,1680033113.0
Port Keats,-14.25,129.55,76.32,82,97.0,4.59,AU,1680032952.0
Fortuna,40.5982,-124.1573,48.54,92,99.0,12.12,US,1680033113.0
