City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,brae,60.3964,-1.353,4.45,72,100,7.94,GB,1680069600
1,katsuura,35.1333,140.3,12.32,87,100,6.69,JP,1680069564
2,saint-philippe,-21.3585,55.7679,27.77,60,61,3.27,RE,1680069660
3,benguela,-12.5763,13.4055,25.65,74,78,1.2,AO,1680069759
4,tuktoyaktuk,69.4541,-133.0374,-14.0,78,75,6.69,CA,1680069578
5,touros,-5.1989,-35.4608,24.59,87,82,3.33,BR,1680069673
6,chokurdakh,70.6333,147.9167,-19.98,92,78,6.06,RU,1680069575
7,kloulklubed,7.0419,134.2556,27.28,67,91,1.23,PW,1680069685
8,praia da vitoria,38.7333,-27.0667,14.86,81,4,10.06,PT,1680069760
9,punta arenas,-53.15,-70.9167,2.06,80,20,9.77,CL,1680069391
10,pevek,69.7008,170.3133,-10.61,78,13,8.01,RU,1680069599
11,port macquarie,-31.4333,152.9167,27.16,69,58,5.46,AU,1680069761
12,malanje,-9.5402,16.341,17.72,97,100,1.04,AO,1680069761
13,ushuaia,-54.8,-68.3,0.81,75,40,2.57,AR,1680069309
14,neiafu,-18.65,-173.9833,28.38,83,75,2.57,TO,1680069588
15,kodiak,57.79,-152.4072,1.84,86,67,0.31,US,1680069586
16,bengkulu,-3.8004,102.2655,25.96,85,100,2.45,ID,1680069761
17,rikitea,-23.1203,-134.9692,26.64,77,98,4.3,PF,1680069557
18,east london,-33.0153,27.9116,18.52,63,0,6.17,ZA,1680069558
19,leningradskiy,69.3833,178.4167,-12.5,82,3,3.32,RU,1680069596
20,hilo,19.7297,-155.09,23.49,88,100,2.24,US,1680069578
21,ponta do sol,32.6667,-17.1,20.07,30,14,0.74,PT,1680069569
22,butaritari,3.0707,172.7902,27.27,81,87,5.83,KI,1680069592
23,long xuyen,10.3833,105.4167,32.97,40,43,3.67,VN,1680069762
24,olga,43.7444,135.2892,8.24,52,2,4.4,RU,1680069762
25,faya,18.3851,42.4509,16.06,41,27,1.24,SA,1680069556
26,kuldur,49.2167,131.6333,10.87,41,79,3.82,RU,1680069763
27,timizart,36.8,4.2667,10.4,63,1,2.72,DZ,1680069763
28,clyde river,70.4692,-68.5914,-26.87,76,75,1.03,CA,1680069593
29,hofn,64.2539,-15.2082,1.17,97,100,9.91,IS,1680069684
30,dingle,10.9995,122.6711,30.25,61,100,5.93,PH,1680069613
31,upernavik,72.7868,-56.1549,-29.54,89,5,2.1,GL,1680069558
32,mataura,-46.1927,168.8643,10.27,58,55,3.35,NZ,1680069562
33,bluff,-46.6,168.3333,10.45,57,46,7.46,NZ,1680069559
34,ribeira grande,38.5167,-28.7,14.87,80,18,9.39,PT,1680069577
35,luderitz,-26.6481,15.1594,15.67,65,0,7.69,NA,1680069559
36,niamey,13.5137,2.1098,24.34,9,9,4.45,NE,1680069638
37,zhigansk,66.7697,123.3711,-16.78,82,96,5.14,RU,1680069704
38,esperance,-33.8667,121.9,21.74,53,6,6.75,AU,1680069642
39,busselton,-33.65,115.3333,26.12,32,22,1.95,AU,1680069571
40,nalut,30.3333,10.85,11.53,68,28,7.72,LY,1680069765
41,hermanus,-34.4187,19.2345,14.89,70,96,1.19,ZA,1680069576
42,vaini,-21.2,-175.2,27.09,89,40,3.6,TO,1680069572
43,okhotsk,59.3833,143.3,-3.77,86,100,3.22,RU,1680069766
44,saint george,37.1041,-113.5841,13.47,32,60,1.34,US,1680069479
45,suluq,31.6682,20.2521,13.05,61,0,5.08,LY,1680069766
46,lavrentiya,65.5833,-171.0,-7.12,96,100,3.83,RU,1680069627
47,chistogorskiy,53.9835,87.3843,7.54,80,90,2.42,RU,1680069766
48,natchez,31.5604,-91.4032,12.69,56,0,2.57,US,1680069766
49,puerto ayora,-0.7393,-90.3518,25.86,95,52,0.15,EC,1680069573
50,plettenberg bay,-34.0527,23.3716,15.91,80,99,4.9,ZA,1680069767
51,barrow,71.2906,-156.7887,-11.99,85,100,7.2,US,1680069560
52,nikolskoye,59.7035,30.7861,-1.06,95,100,3.78,RU,1680069590
53,nishihara,26.1842,127.7558,21.6,68,100,5.14,JP,1680069687
54,magelang,-7.4706,110.2178,28.75,69,85,0.96,ID,1680069767
55,dikson,73.5069,80.5464,-22.57,95,100,4.05,RU,1680069561
56,beyneu,45.3167,55.2,15.17,56,49,2.53,KZ,1680069479
57,antalaha,-14.9003,50.2788,26.8,82,100,1.37,MG,1680069768
58,alberton,46.8168,-64.0654,-1.5,88,61,2.44,CA,1680069647
59,svetlaya,46.5389,138.3297,6.01,56,4,7.28,RU,1680069768
60,hobart,-42.8794,147.3294,17.93,76,75,4.12,AU,1680069386
61,chernogorsk,53.8236,91.2842,13.76,41,0,4.0,RU,1680069768
62,souillac,-20.5167,57.5167,28.21,69,40,3.6,MU,1680069581
63,saskylakh,71.9167,114.0833,-20.93,89,97,4.87,RU,1680069592
64,salalah,17.0151,54.0924,28.26,50,82,6.96,OM,1680069648
65,mizan teferi,6.9833,35.5833,22.63,61,97,0.75,ET,1680069769
66,shahumyan,39.9385,44.5697,16.18,30,1,4.03,AM,1680069769
